"Label (Grouping)","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Labor Force Participation Rate!!Estimate","San Francisco County, California!!Employment/Population Ratio!!Estimate","San Francisco County, California!!Unemployment rate!!Estimate"
"Population 16 years and over","759,882","71.2%","67.4%","5.3%"
"    AGE","","","",""
"        16 to 19 years","26,160","32.5%","26.9%","17.4%"
"        20 to 24 years","44,753","75.0%","70.2%","6.2%"
"        25 to 29 years","94,090","90.5%","86.3%","4.6%"
"        30 to 34 years","101,572","92.5%","89.1%","3.6%"
"        35 to 44 years","139,472","88.9%","84.6%","4.9%"
"        45 to 54 years","114,074","85.1%","80.0%","6.0%"
"        55 to 59 years","52,366","74.5%","70.2%","5.9%"
"        60 to 64 years","49,442","63.2%","59.9%","5.2%"
"        65 to 74 years","78,589","30.6%","28.3%","7.3%"
"        75 years and over","59,364","7.1%","6.8%","4.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","340,372","76.1%","72.6%","4.5%"
"        Black or African American alone","38,724","57.3%","51.1%","10.7%"
"        American Indian and Alaska Native alone","3,379","69.3%","60.8%","11.8%"
"        Asian alone","269,916","66.1%","62.7%","5.1%"
"        Native Hawaiian and Other Pacific Islander alone","2,640","73.7%","70.1%","4.9%"
"        Some other race alone","55,631","72.5%","67.2%","7.3%"
"        Two or more races","49,220","74.5%","70.0%","5.9%"
"        Hispanic or Latino origin (of any race)","108,385","73.2%","68.6%","6.2%"
"        White alone, not Hispanic or Latino","308,861","76.3%","72.9%","4.4%"
"Population 20 to 64 years","595,769","84.6%","80.3%","5.0%"
"    SEX","","","",""
"        Male","313,699","87.0%","82.2%","5.5%"
"        Female","282,070","81.9%","78.3%","4.4%"
"            With own children under 18 years","61,561","77.6%","75.0%","3.3%"
"                With own children under 6 years only","19,648","76.4%","74.7%","2.2%"
"                With own children under 6 years and 6 to 17  years","8,386","70.5%","67.8%","3.6%"
"                With own children 6 to 17 years only","33,527","80.0%","76.9%","3.9%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","54,174","45.2%","31.7%","29.8%"
"        At or above the poverty level","538,037","88.9%","85.6%","3.7%"
"    DISABILITY STATUS","","","",""
"        With any disability","37,164","49.8%","43.1%","13.3%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","551,016","85.4%","81.2%","4.9%"
"        Less than high school graduate","43,311","70.4%","64.3%","8.6%"
"        High school graduate (includes equivalency)","56,626","73.9%","67.6%","8.5%"
"        Some college or associate's degree","94,842","78.7%","73.5%","6.4%"
"        Bachelor's degree or higher","356,237","90.8%","87.4%","3.7%"
