sex,age_group,age,race,enrolled_in_school,participation_in_labor_force,employed,occupation,marital_status,own_child_under_18,own_child_under_18_type,location,survey_date,survey_date_weekday,loc_ub,model,id,uuid,place_name,arrival_time,departure_time,loc_type
female,22 to 24 years,23,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",True,True,False,,never married,True,under 6 years and 6 to 17 years,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-07-25,Monday,none,gemini,0,completions_6a77e737-3493-4bda-b6f3-c37fa988cb19,Home,7:11 AM,09:55 AM,1
female,22 to 24 years,23,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",True,True,False,,never married,True,under 6 years and 6 to 17 years,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-07-25,Monday,none,gemini,0,completions_6a77e737-3493-4bda-b6f3-c37fa988cb19,Change type of transportation,7:11 AM,7:26 AM,7
female,22 to 24 years,23,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",True,True,False,,never married,True,under 6 years and 6 to 17 years,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-07-25,Monday,none,gemini,0,completions_6a77e737-3493-4bda-b6f3-c37fa988cb19,Bus station,09:55 AM,09:56 AM,17
female,22 to 24 years,23,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",True,True,False,,never married,True,under 6 years and 6 to 17 years,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-07-25,Monday,none,gemini,0,completions_6a77e737-3493-4bda-b6f3-c37fa988cb19,School,09:57 AM,12:11 PM,8
female,22 to 24 years,23,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",True,True,False,,never married,True,under 6 years and 6 to 17 years,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-07-25,Monday,none,gemini,0,completions_6a77e737-3493-4bda-b6f3-c37fa988cb19,Change type of transportation,12:11 PM,12:13 PM,7
female,22 to 24 years,23,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",True,True,False,,never married,True,under 6 years and 6 to 17 years,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-07-25,Monday,none,gemini,0,completions_6a77e737-3493-4bda-b6f3-c37fa988cb19,Bus station,12:13 PM,12:31 PM,17
female,22 to 24 years,23,"Asian alone or in combination with one or more other races  (400-499) & (100-299) or (300, A01-Z99) or (400-999)",True,True,False,,never married,True,under 6 years and 6 to 17 years,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-07-25,Monday,none,gemini,0,completions_6a77e737-3493-4bda-b6f3-c37fa988cb19,Home,12:21 PM,12:32 PM,1
male,70 to 74 years,70,White alone or in combination with one or more other races,False,False,False,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-14,Sunday,none,gemini,1,completions_13cb4a60-f39a-4e60-8272-a497100ef0d3,Residence,10:30 AM,10:35 AM,1
male,70 to 74 years,70,White alone or in combination with one or more other races,False,False,False,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-14,Sunday,none,gemini,1,completions_13cb4a60-f39a-4e60-8272-a497100ef0d3,Trader Joe's,11:15 AM,11:45 AM,11
male,70 to 74 years,70,White alone or in combination with one or more other races,False,False,False,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-14,Sunday,none,gemini,1,completions_13cb4a60-f39a-4e60-8272-a497100ef0d3,Haskell's Beauty Supply,12:10 PM,12:30 PM,11
male,70 to 74 years,70,White alone or in combination with one or more other races,False,False,False,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-14,Sunday,none,gemini,1,completions_13cb4a60-f39a-4e60-8272-a497100ef0d3,Residence,12:40 PM,05:05 PM,1
male,70 to 74 years,70,White alone or in combination with one or more other races,False,False,False,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-14,Sunday,none,gemini,1,completions_13cb4a60-f39a-4e60-8272-a497100ef0d3,Nail Care and Spa,05:10 PM,05:40 PM,18
male,70 to 74 years,70,White alone or in combination with one or more other races,False,False,False,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-14,Sunday,none,gemini,1,completions_13cb4a60-f39a-4e60-8272-a497100ef0d3,Ralph's,06:00 PM,06:20 PM,11
male,70 to 74 years,70,White alone or in combination with one or more other races,False,False,False,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-14,Sunday,none,gemini,1,completions_13cb4a60-f39a-4e60-8272-a497100ef0d3,Residence,06:40 PM,07:00 PM,1
male,70 to 74 years,70,White alone or in combination with one or more other races,False,False,False,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-14,Sunday,none,gemini,1,completions_13cb4a60-f39a-4e60-8272-a497100ef0d3,Golden Corral,07:05 PM,08:30 PM,13
male,70 to 74 years,70,White alone or in combination with one or more other races,False,False,False,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-14,Sunday,none,gemini,1,completions_13cb4a60-f39a-4e60-8272-a497100ef0d3,Residence,08:35 PM,11:30 PM,1
male,60 and 61 years,61,Hispanic or Latino (of any race) (200-299),False,False,False,,divorced,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-01-28,Saturday,none,gemini,2,completions_7b048e04-fc27-4ffc-8d16-fb044ebd9204,Home,1:00 AM,6:20 AM,Regular home activities (1)
male,60 and 61 years,61,Hispanic or Latino (of any race) (200-299),False,False,False,,divorced,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-01-28,Saturday,none,gemini,2,completions_7b048e04-fc27-4ffc-8d16-fb044ebd9204,Huntington Park Library,9:00 AM,11:00 AM,Buy goods (11)
male,60 and 61 years,61,Hispanic or Latino (of any race) (200-299),False,False,False,,divorced,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-01-28,Saturday,none,gemini,2,completions_7b048e04-fc27-4ffc-8d16-fb044ebd9204,Jo-Ann,11:15 AM,12:30 PM,Buy goods (11)
male,15 to 17 years,16,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",True,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-04-21,Friday,none,gemini,3,completions_fb2e0de6-aa0c-4640-b79d-f9659f04ae11,Home,5:21 PM,5:26 PM,1
male,15 to 17 years,16,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",True,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-04-21,Friday,none,gemini,3,completions_fb2e0de6-aa0c-4640-b79d-f9659f04ae11,Walgreens,5:27 PM,6:00 PM,11
male,15 to 17 years,16,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",True,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-04-21,Friday,none,gemini,3,completions_fb2e0de6-aa0c-4640-b79d-f9659f04ae11,Home,6:02 PM,7:10 PM,1
male,15 to 17 years,16,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",True,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-04-21,Friday,none,gemini,3,completions_fb2e0de6-aa0c-4640-b79d-f9659f04ae11,[Fast Food Rest.],7:15 PM,7:56 PM,13
male,15 to 17 years,16,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",True,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-04-21,Friday,none,gemini,3,completions_fb2e0de6-aa0c-4640-b79d-f9659f04ae11,Starbucks,7:58 PM,8:30 PM,13
male,15 to 17 years,16,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",True,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-04-21,Friday,none,gemini,3,completions_fb2e0de6-aa0c-4640-b79d-f9659f04ae11,Church,8:32 PM,9:54 PM,19
male,15 to 17 years,16,"Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)",True,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017-04-21,Friday,none,gemini,3,completions_fb2e0de6-aa0c-4640-b79d-f9659f04ae11,Home,10:00 PM,Not stated,1
female,75 to 79 years,77,"White alone or in combination with one or more other races, not Hispanic or Latino",False,True,True,"Arts, design, entertainment, sports, and media occupations",seprated,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-04-29,Friday,none,gemini,4,completions_7e47ac35-abf8-4be9-8262-8783309bff47,Golf Course,6:30 AM,10:00 PM,15
female,75 to 79 years,77,"White alone or in combination with one or more other races, not Hispanic or Latino",False,True,True,"Arts, design, entertainment, sports, and media occupations",seprated,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-04-29,Friday,none,gemini,4,completions_7e47ac35-abf8-4be9-8262-8783309bff47,Home,10:00 PM,...,1
female,30 to 34 years,31,Mexican (210-220),False,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-10,Wednesday,none,gemini,5,completions_dd422ab8-6ec6-404b-9b27-5dc72762d2eb,Home,03:00 AM,10:00 AM,1
female,30 to 34 years,31,Mexican (210-220),False,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-10,Wednesday,none,gemini,5,completions_dd422ab8-6ec6-404b-9b27-5dc72762d2eb,Albertsons,10:20 AM,10:50 AM,11
female,30 to 34 years,31,Mexican (210-220),False,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-10,Wednesday,none,gemini,5,completions_dd422ab8-6ec6-404b-9b27-5dc72762d2eb,Walgreens,10:55 AM,11:20 AM,12
female,30 to 34 years,31,Mexican (210-220),False,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-10,Wednesday,none,gemini,5,completions_dd422ab8-6ec6-404b-9b27-5dc72762d2eb,CVS Pharmacy,11:25 AM,11:45 AM,12
female,30 to 34 years,31,Mexican (210-220),False,False,False,,never married,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016-08-10,Wednesday,none,gemini,5,completions_dd422ab8-6ec6-404b-9b27-5dc72762d2eb,Target,12:00 PM,01:00 PM,11
