sex,age_group,age,race,enrolled_in_school,participation_in_labor_force,employed,occupation,marital_status,own_child_under_18,own_child_under_18_type,location,survey_date,survey_date_weekday,loc_ub,model,id,uuid,place_name,arrival_time,departure_time,loc_type
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,Home,06:30 AM,07:58 AM,1
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,[School Type of Education],07:59 AM,08:13 AM,"8, attending university"
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,[University],08:14 AM,"10:40, AM, Thursday","8, attending university"
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,Home,10:41 AM,11:00 AM,1
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,[Place Type],11:01 AM,"01:20, PM, Sunday",19
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,Home,01:21 PM,01:46 PM,1
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,[Drug Store],01:47 PM,02:09 PM,11
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,Home,02:10 PM,02:14 PM,1
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,[Restaurant Type],02:15 PM,02:41 PM,13
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,Home,08:16 PM,09:00 PM,1
male,30 to 34 years,30,"White alone or in combination with one or more other races, not Hispanic or Latino",False,False,False,,never married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-07-13,Wednesday,none,llama,0,completions_54410a59-cb12-46b3-bdca-ea23d1a0594e,Home,09:01 PM,09:02 AM,1
male,25 to 29 years,29,"White alone, not Hispanic or Latino",False,True,True,Computer and mathematical occupations,married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017-03-13,Monday,none,llama,1,completions_c5144fe9-185d-4e6e-9e79-132b78195d60,Home,08:50,09:00,1
male,25 to 29 years,29,"White alone, not Hispanic or Latino",False,True,True,Computer and mathematical occupations,married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017-03-13,Monday,none,llama,1,completions_c5144fe9-185d-4e6e-9e79-132b78195d60,Work,09:00,09:30,3
male,25 to 29 years,29,"White alone, not Hispanic or Latino",False,True,True,Computer and mathematical occupations,married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017-03-13,Monday,none,llama,1,completions_c5144fe9-185d-4e6e-9e79-132b78195d60,Work,09:30,11:00,3
male,25 to 29 years,29,"White alone, not Hispanic or Latino",False,True,True,Computer and mathematical occupations,married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017-03-13,Monday,none,llama,1,completions_c5144fe9-185d-4e6e-9e79-132b78195d60,Work,11:00,11:30,2
male,25 to 29 years,29,"White alone, not Hispanic or Latino",False,True,True,Computer and mathematical occupations,married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017-03-13,Monday,none,llama,1,completions_c5144fe9-185d-4e6e-9e79-132b78195d60,Work,11:30,11:45,3
male,25 to 29 years,29,"White alone, not Hispanic or Latino",False,True,True,Computer and mathematical occupations,married,False,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017-03-13,Monday,none,llama,1,completions_c5144fe9-185d-4e6e-9e79-132b78195d60,Home,15:50,17:50,1
female,65 and 66 years,66,Some other race alone,False,False,False,,,,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-09-10,Saturday,none,llama,2,completions_c5e562ad-4ad4-4e70-be5a-1c099d4ee66e,Home,7:00 AM,8:00 AM,1
female,65 and 66 years,66,Some other race alone,False,False,False,,,,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-09-10,Saturday,none,llama,2,completions_c5e562ad-4ad4-4e70-be5a-1c099d4ee66e,Work,8:00 AM,9:00 AM,3
female,65 and 66 years,66,Some other race alone,False,False,False,,,,,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016-09-10,Saturday,none,llama,2,completions_c5e562ad-4ad4-4e70-be5a-1c099d4ee66e,Work,9:00 AM,8:00 PM,3
