sex,age_group,age,race,enrolled_in_school,participation_in_labor_force,employed,occupation,marital_status,own_child_under_18,own_child_under_18_type,location,survey_date,survey_date_weekday,loc_ub,model,id,uuid,place_name,arrival_time,departure_time,loc_type
female,20 years,20,Hispanic or Latino (of any race) (200-299),True,False,False,,married,True,under 6 years only,"San Francisco-Oakland-Hayward, CA Metro Area",2016-11-26,Saturday,none,gpt4,0,completions_b53bcfb5-a75f-4fd0-9cbb-33aa68c24ffd,Home,12:00 AM,10:30 AM,1
female,20 years,20,Hispanic or Latino (of any race) (200-299),True,False,False,,married,True,under 6 years only,"San Francisco-Oakland-Hayward, CA Metro Area",2016-11-26,Saturday,none,gpt4,0,completions_b53bcfb5-a75f-4fd0-9cbb-33aa68c24ffd,Local Grocery Store,11:00 AM,11:30 AM,11
female,20 years,20,Hispanic or Latino (of any race) (200-299),True,False,False,,married,True,under 6 years only,"San Francisco-Oakland-Hayward, CA Metro Area",2016-11-26,Saturday,none,gpt4,0,completions_b53bcfb5-a75f-4fd0-9cbb-33aa68c24ffd,Park,12:00 PM,02:00 PM,15
female,20 years,20,Hispanic or Latino (of any race) (200-299),True,False,False,,married,True,under 6 years only,"San Francisco-Oakland-Hayward, CA Metro Area",2016-11-26,Saturday,none,gpt4,0,completions_b53bcfb5-a75f-4fd0-9cbb-33aa68c24ffd,Friend's House,03:00 PM,06:00 PM,17
female,20 years,20,Hispanic or Latino (of any race) (200-299),True,False,False,,married,True,under 6 years only,"San Francisco-Oakland-Hayward, CA Metro Area",2016-11-26,Saturday,none,gpt4,0,completions_b53bcfb5-a75f-4fd0-9cbb-33aa68c24ffd,Restaurant,06:30 PM,07:30 PM,13
female,20 years,20,Hispanic or Latino (of any race) (200-299),True,False,False,,married,True,under 6 years only,"San Francisco-Oakland-Hayward, CA Metro Area",2016-11-26,Saturday,none,gpt4,0,completions_b53bcfb5-a75f-4fd0-9cbb-33aa68c24ffd,Home,08:00 PM,11:59 PM,1
male,70 to 74 years,73,"White alone, not Hispanic or Latino",False,False,False,,,False,,"San Francisco-Oakland-Hayward, CA Metro Area",2016-04-25,Monday,none,gpt4,1,completions_a9a80bd9-c006-49ee-86b2-7aba610b3d24,Home,06:30 AM,08:00 AM,1
male,70 to 74 years,73,"White alone, not Hispanic or Latino",False,False,False,,,False,,"San Francisco-Oakland-Hayward, CA Metro Area",2016-04-25,Monday,none,gpt4,1,completions_a9a80bd9-c006-49ee-86b2-7aba610b3d24,Local Cafe,08:30 AM,09:30 AM,13
male,70 to 74 years,73,"White alone, not Hispanic or Latino",False,False,False,,,False,,"San Francisco-Oakland-Hayward, CA Metro Area",2016-04-25,Monday,none,gpt4,1,completions_a9a80bd9-c006-49ee-86b2-7aba610b3d24,Public Library,10:00 AM,12:00 PM,14
male,70 to 74 years,73,"White alone, not Hispanic or Latino",False,False,False,,,False,,"San Francisco-Oakland-Hayward, CA Metro Area",2016-04-25,Monday,none,gpt4,1,completions_a9a80bd9-c006-49ee-86b2-7aba610b3d24,Park,12:30 PM,02:00 PM,15
male,70 to 74 years,73,"White alone, not Hispanic or Latino",False,False,False,,,False,,"San Francisco-Oakland-Hayward, CA Metro Area",2016-04-25,Monday,none,gpt4,1,completions_a9a80bd9-c006-49ee-86b2-7aba610b3d24,Grocery Store,02:30 PM,03:00 PM,11
male,70 to 74 years,73,"White alone, not Hispanic or Latino",False,False,False,,,False,,"San Francisco-Oakland-Hayward, CA Metro Area",2016-04-25,Monday,none,gpt4,1,completions_a9a80bd9-c006-49ee-86b2-7aba610b3d24,Friend's House,03:30 PM,05:30 PM,17
male,70 to 74 years,73,"White alone, not Hispanic or Latino",False,False,False,,,False,,"San Francisco-Oakland-Hayward, CA Metro Area",2016-04-25,Monday,none,gpt4,1,completions_a9a80bd9-c006-49ee-86b2-7aba610b3d24,Home,06:00 PM,11:30 PM,1
