,context,output
0,"The individual is a 18-year-old female who's racial background is 'Asian alone or in combination with one or more other races, not Hispanic or Latino'.  She lives in Dallas-Fort Worth-Arlington, TX. She has been selected for a travel survey and have recorded her travel logs for 2016-10-21 which is a Friday. 
She was asked to provide a list of all the places she visited on her travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

She was instructed to fill in each row with the relevant information for each place she visited on the specified date. If she visited the same place multiple times on the same date, she was advised to add a separate row for each visit to that place. 

She was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. She was asked to input the exact arrival and departure time as she noted in her travel diary.
3. She was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' she was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table she created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Home                    | 12:00 AM        | 06:30 AM        | 1               |
| Work                    | 06:50 AM        | 04:00 PM        | 3               |
| Home                    | 04:14 PM        | 11:59 PM        | 1               |
"
1,"The individual is a 50-year-old female who's racial background is 'Two races with Some Other Race'.  She lives in Raleigh, NC. She has been selected for a travel survey and have recorded her travel logs for 2016-10-05 which is a Wednesday. 
She was asked to provide a list of all the places she visited on her travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

She was instructed to fill in each row with the relevant information for each place she visited on the specified date. If she visited the same place multiple times on the same date, she was advised to add a separate row for each visit to that place. 

She was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. She was asked to input the exact arrival and departure time as she noted in her travel diary.
3. She was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' she was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table she created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Home                    | 12:00 AM        | 07:10 AM        | 1               |
| Work                    | 07:30 AM        | 04:41 PM        | 3               |
| Visit friends           | 05:10 PM        | 08:15 PM        | 17              |
| Home                    | 08:30 PM        | 11:59 PM        | 1               |
"
2,"The individual is a 52-year-old female who's racial background is 'White alone, not Hispanic or Latino'.  She lives in Seattle-Tacoma-Bellevue, WA. She has been selected for a travel survey and have recorded her travel logs for 2016-08-25 which is a Thursday. 
She was asked to provide a list of all the places she visited on her travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

She was instructed to fill in each row with the relevant information for each place she visited on the specified date. If she visited the same place multiple times on the same date, she was advised to add a separate row for each visit to that place. 

She was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. She was asked to input the exact arrival and departure time as she noted in her travel diary.
3. She was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' she was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table she created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Home                    | 12:00 AM        | 07:20 AM        | 1               |
| School-student          | 07:30 AM        | 12:00 PM        | 8               |
| Home                    | 12:05 PM        | 11:59 PM        | 1               |
"
3,"The individual is a 48-year-old male who's racial background is 'White alone, Hispanic or Latino'.  He lives in Austin-Round Rock, TX. He has been selected for a travel survey and have recorded his travel logs for 2016-07-31 which is a Sunday. 
He was asked to provide a list of all the places he visited on his travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

He was instructed to fill in each row with the relevant information for each place he visited on the specified date. If he visited the same place multiple times on the same date, he was advised to add a separate row for each visit to that place.

He was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. He was asked to input the exact arrival and departure time as he noted in his travel diary.
3. He was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' he was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table he created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Home                    | 12:00 AM        | 08:45 AM        | 1               |
| Buy services            | 09:15 AM        | 09:30 AM        | 12              |
| Home                    | 09:45 AM        | 03:45 PM        | 1               |
| Change transport        | 05:00 PM        | 05:25 PM        | 7               |
| Home                    | 05:45 PM        | 11:59 PM        | 1               |
"
4,"The individual is a 60-year-old female who's racial background is 'Asian alone, not Hispanic or Latino'.  She lives in New York-Newark-Jersey City, NY-NJ-PA. She has been selected for a travel survey and have recorded her travel logs for 2016-11-15 which is a Tuesday. 
She was asked to provide a list of all the places she visited on her travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

She was instructed to fill in each row with the relevant information for each place she visited on the specified date. If she visited the same place multiple times on the same date, she was advised to add a separate row for each visit to that place. 

She was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. She was asked to input the exact arrival and departure time as she noted in her travel diary.
3. She was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' she was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table she created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Home                    | 12:00 AM        | 12:45 PM        | 1               |
| Buy goods               | 01:00 PM        | 01:28 PM        | 11              |
| Home                    | 01:48 PM        | 11:59 PM        | 1               |
"
5,"The individual is a 48-year-old male who's racial background is 'White alone, not Hispanic or Latino'.  He lives in Dallas-Fort Worth-Arlington, TX. He has been selected for a travel survey and have recorded his travel logs for 2016-09-08 which is a Thursday. 
He was asked to provide a list of all the places he visited on his travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

He was instructed to fill in each row with the relevant information for each place he visited on the specified date. If he visited the same place multiple times on the same date, he was advised to add a separate row for each visit to that place.

He was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. He was asked to input the exact arrival and departure time as he noted in his travel diary.
3. He was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' he was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table he created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Home                    | 12:00 AM        | 12:00 PM        | 1               |
| Buy meals               | 12:20 PM        | 01:15 PM        | 13              |
| Buy goods               | 01:30 PM        | 02:50 PM        | 11              |
| Home                    | 03:00 PM        | 11:59 PM        | 1               |
"
6,"The individual is a 68-year-old female who's racial background is 'Asian alone or in combination with one or more other races, not Hispanic or Latino'.  She lives in Dallas-Fort Worth-Arlington, TX. She has been selected for a travel survey and have recorded her travel logs for 2016-12-08 which is a Thursday. 
She was asked to provide a list of all the places she visited on her travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

She was instructed to fill in each row with the relevant information for each place she visited on the specified date. If she visited the same place multiple times on the same date, she was advised to add a separate row for each visit to that place. 

She was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. She was asked to input the exact arrival and departure time as she noted in her travel diary.
3. She was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' she was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table she created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Home                    | 12:00 AM        | 07:00 AM        | 1               |
| Drop-off/Pick-up        | 07:15 AM        | 07:19 AM        | 6               |
| Home                    | 07:35 AM        | 09:30 AM        | 1               |
| Health care             | 10:15 AM        | 11:45 AM        | 18              |
| General                 | 12:25 PM        | 12:40 PM        | 14              |
| Buy goods               | 12:45 PM        | 01:00 PM        | 11              |
| Drop-off/Pick-up        | 01:06 PM        | 01:45 PM        | 6               |
| Buy meals               | 02:00 PM        | 03:30 PM        | 13              |
| Home                    | 03:50 PM        | 11:59 PM        | 1               |
"
7,"The individual is a 60-year-old female who's racial background is 'White alone or in combination with one or more other races, not Hispanic or Latino'.  She lives in Tampa-St. Petersburg-Clearwater, FL. She has been selected for a travel survey and have recorded her travel logs for 2016-11-12 which is a Saturday. 
She was asked to provide a list of all the places she visited on her travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

She was instructed to fill in each row with the relevant information for each place she visited on the specified date. If she visited the same place multiple times on the same date, she was advised to add a separate row for each visit to that place. 

She was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. She was asked to input the exact arrival and departure time as she noted in her travel diary.
3. She was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' she was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table she created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Visit friends           | 12:00 AM        | 02:00 PM        | 17              |
| Visit friends           | 02:35 PM        | 06:15 PM        | 17              |
| Home                    | 06:30 PM        | 11:59 PM        | 1               |
"
8,"The individual is a 32-year-old female who's racial background is 'Asian alone or in combination with one or more other races, not Hispanic or Latino'.  She lives in San Francisco-Oakland-Hayward, CA. She has been selected for a travel survey and have recorded her travel logs for 2016-12-23 which is a Friday. 
She was asked to provide a list of all the places she visited on her travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

She was instructed to fill in each row with the relevant information for each place she visited on the specified date. If she visited the same place multiple times on the same date, she was advised to add a separate row for each visit to that place. 

She was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. She was asked to input the exact arrival and departure time as she noted in her travel diary.
3. She was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' she was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table she created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Home                    | 12:00 AM        | 07:43 AM        | 1               |
| Work                    | 08:36 AM        | 05:30 PM        | 3               |
| Home                    | 06:40 PM        | 11:59 PM        | 1               |
"
9,"The individual is a 26-year-old female who's racial background is 'White alone'.  She lives in Dallas-Fort Worth-Arlington, TX. She has been selected for a travel survey and have recorded her travel logs for 2017-03-18 which is a Saturday. 
She was asked to provide a list of all the places she visited on her travel date, including the exact times of arrival and departure, and the location type. The table format provided was as follows: 

| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| [Place Name]            | [HH:MM AM/PM]   | [HH:MM AM/PM]   | [Location Type] |
| ...                     | ...             | ...             | ...             |

She was instructed to fill in each row with the relevant information for each place she visited on the specified date. If she visited the same place multiple times on the same date, she was advised to add a separate row for each visit to that place. 

She was reminded of the following:

1. Ensure that 'Home' is included in the list if it was part of  travel activities on the specified date.
2. She was asked to input the exact arrival and departure time as she noted in her travel diary.
3. She was advised to carefully enter the times, as gaps between the departure time of the previous place and the arrival time of the current place indicate the time taken to arrive at the current location.

For the 'Location Type,' she was instructed to use the corresponding code from the provided list:

1: Regular home activities (chores, sleep)
2: Work from home (paid)
3: Work
4: Work-related meeting / trip
5: Volunteer activities (not paid)
6: Drop off / pick up someone
7: Change type of transportation
8: Attend school as a student
9: Attend child care
10: Attend adult care
11: Buy goods (groceries, clothes, appliances, gas)
12: Buy services (dry cleaners, banking, service a car, etc)
13: Buy meals (go out for a meal, snack, carry-out)
14: Other general errands (post office, library)
15: Recreational activities (visit parks, movies, bars, etc)
16: Exercise (go for a jog, walk, walk the dog, go to the gym, etc)
17: Visit friends or relatives
18: Health care visit (medical, dental, therapy)
19: Religious or other community activities
97: Something else

The table she created is as follows:
","| Place Visited           | Arrival Time    | Departure Time  | Location Type   |
|-------------------------|-----------------|-----------------|-----------------|
| Home                    | 12:00 AM        | 02:00 PM        | 1               |
| Health care             | 02:15 PM        | 04:30 PM        | 18              |
| Home                    | 05:00 PM        | 11:59 PM        | 1               |
"
